(128, 4, 50)
Tensor("sigmoid/Wx_plus_b/Tensordot:0", shape=(128, 4, 2), dtype=float32)
step 3781, training accuracy -6.31809e-05
step 3791, training accuracy -6.31809e-05
step 3801, training accuracy -6.29425e-05
step 3811, training accuracy -6.33001e-05
step 3821, training accuracy -6.30617e-05
step 3831, training accuracy -6.31809e-05
step 3841, training accuracy -6.31809e-05
step 3851, training accuracy -6.31809e-05
step 3861, training accuracy -6.31809e-05
step 3871, training accuracy -6.31809e-05
step 3881, training accuracy -6.31809e-05
step 3891, training accuracy -6.33001e-05
step 3901, training accuracy -6.31809e-05
step 3911, training accuracy -6.31809e-05
step 3921, training accuracy -6.31809e-05
step 3931, training accuracy -6.30617e-05
step 3941, training accuracy -6.31809e-05
step 3951, training accuracy -6.31809e-05
step 3961, training accuracy -6.31809e-05
step 3971, training accuracy -6.31809e-05
step 3981, training accuracy -6.31809e-05
step 3991, training accuracy -6.31809e-05
step 4001, training accuracy -6.31809e-05
step 4011, training accuracy -6.31809e-05
step 4021, training accuracy -6.31809e-05
step 4031, training accuracy -6.34193e-05
step 4041, training accuracy -6.34193e-05
step 4051, training accuracy -6.34193e-05
step 4061, training accuracy -6.31809e-05
step 4071, training accuracy -6.31809e-05
step 4081, training accuracy -6.30617e-05
step 4091, training accuracy -6.31809e-05
step 4101, training accuracy -6.33001e-05
step 4111, training accuracy -6.33001e-05
step 4121, training accuracy -6.34193e-05
step 4131, training accuracy -6.34193e-05
step 4141, training accuracy -6.34193e-05
step 4151, training accuracy -6.31809e-05
step 4161, training accuracy -6.31809e-05
step 4171, training accuracy -6.31809e-05
step 4181, training accuracy -6.34193e-05
step 4191, training accuracy -6.34193e-05
step 4201, training accuracy -6.31809e-05
step 4211, training accuracy -6.34193e-05
step 4221, training accuracy -6.33001e-05
step 4231, training accuracy -6.34193e-05
step 4241, training accuracy -6.31809e-05
step 4251, training accuracy -6.35385e-05
step 4261, training accuracy -6.34193e-05
step 4271, training accuracy -6.34193e-05
step 4281, training accuracy -6.31809e-05
step 4291, training accuracy -6.35385e-05
step 4301, training accuracy -6.35385e-05
step 4311, training accuracy -6.36578e-05
step 4321, training accuracy -6.38962e-05
step 4331, training accuracy -6.38962e-05
step 4341, training accuracy -6.3777e-05
step 4351, training accuracy -6.38962e-05
step 4361, training accuracy -6.3777e-05
step 4371, training accuracy -6.35385e-05
step 4381, training accuracy -6.40154e-05
step 4391, training accuracy -6.38962e-05
step 4401, training accuracy -6.40154e-05
step 4411, training accuracy -6.38962e-05
step 4421, training accuracy -6.38962e-05
step 4431, training accuracy -6.36578e-05
step 4441, training accuracy -6.40154e-05
step 4451, training accuracy -6.38962e-05
step 4461, training accuracy -6.38962e-05
step 4471, training accuracy -6.40154e-05
step 4481, training accuracy -6.41346e-05
step 4491, training accuracy -6.40154e-05
step 4501, training accuracy -6.40154e-05
step 4511, training accuracy -6.40154e-05
step 4521, training accuracy -6.36578e-05
step 4531, training accuracy -6.41346e-05
step 4541, training accuracy -6.38962e-05
step 4551, training accuracy -6.40154e-05
step 4561, training accuracy -6.41346e-05
step 4571, training accuracy -6.41346e-05
step 4581, training accuracy -6.40154e-05
step 4591, training accuracy -6.40154e-05
step 4601, training accuracy -6.42538e-05
step 4611, training accuracy -6.40154e-05
step 4621, training accuracy -6.40154e-05
step 4631, training accuracy -6.40154e-05
step 4641, training accuracy -6.41346e-05
step 4651, training accuracy -6.42538e-05
step 4661, training accuracy -6.40154e-05
step 4671, training accuracy -6.41346e-05
step 4681, training accuracy -6.40154e-05
step 4691, training accuracy -6.40154e-05
step 4701, training accuracy -6.42538e-05
step 4711, training accuracy -6.42538e-05
step 4721, training accuracy -6.42538e-05
step 4731, training accuracy -6.40154e-05
step 4741, training accuracy -6.42538e-05
step 4751, training accuracy -6.41346e-05
step 4761, training accuracy -6.40154e-05
step 4771, training accuracy -6.42538e-05
step 4781, training accuracy -6.42538e-05
step 4791, training accuracy -6.40154e-05
step 4801, training accuracy -6.40154e-05
step 4811, training accuracy -6.40154e-05
step 4821, training accuracy -6.40154e-05
step 4831, training accuracy -6.42538e-05
step 4841, training accuracy -6.42538e-05
step 4851, training accuracy -6.42538e-05
step 4861, training accuracy -6.42538e-05
step 4871, training accuracy -6.42538e-05
step 4881, training accuracy -6.40154e-05
step 4891, training accuracy -6.42538e-05
step 4901, training accuracy -6.42538e-05
step 4911, training accuracy -6.3777e-05
step 4921, training accuracy -6.42538e-05
step 4931, training accuracy -6.42538e-05
step 4941, training accuracy -6.42538e-05
step 4951, training accuracy -6.42538e-05
step 4961, training accuracy -6.42538e-05
step 4971, training accuracy -6.42538e-05
step 4981, training accuracy -6.42538e-05
step 4991, training accuracy -6.40154e-05
